Code,Cost,Full Name,Contents
ANE01,$34.00,ANAEMIA PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count"
ANE02,$60.00,ANAEMIA PROFILE 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin"
ANE04,$55.00,ANAEMIA PROFILE 04,"Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin"
ANE05,$45.00,ANAEMIA PROFILE 05,"Folic Acid
Vitamin B12"
ANE06,$67.00,ANAEMIA PROFILE 06,"Ferritin
Folic Acid
Vitamin B12"
ANE07,$88.00,ANAEMIA PROFILE 07,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Folic Acid
Vitamin B12"
ANE13,$95.00,ANAEMIA PROFILE 13,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Folic Acid
Vitamin B12"
ANE14,$115.00,ANAEMIA PROFILE 14,"Reticulocyte Count
Iron
Total Iron Binding Capacity (TIBC)
Transferrin
% Iron Saturation
Ferritin
Hb Electrophoresis
Folic Acid
Vitamin B12"
TH02,$65.00,THALASSEMIA SCREEN 02,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Ferritin
Hb Electrophoresis"
TH04,$105.00,THALASSEMIA SCREEN 04,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Iron
Total Iron Binding Capacity (TIBC)
% Iron Saturation
Transferrin
Ferritin
Hb Electrophoresis"
TH05,$97.00,THALASSEMIA SCREEN 05,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Ferritin
Folic Acid
Vitamin B12
Hb Electrophoresis"
ECZEMA,$507.00,Eczema Panel (11),"Blomia Tropicalis D201
Cat Dander E1
Chicken F83
Cow's Milk F2
Dog Dander E5
D. Farinae D2
D. Pteronyssinus D1
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4"
ASTHMA,$441.00,Asthma Panel (11),"Chicken F83
Cow's Milk F2
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4"
GASTRO,$331.00,Gastro Panel (6),"Chicken F83
Cow's Milk F2
Egg White F1
Peanut F13
Soya Bean F14
Wheat F4"
ANIMAL1,$340.00,Animal Dander EX1,"Cat Dander E1
Dog Dander E5
Guinea Pig Epithelium E6
Rat Epithelium, Serum & Urine Proteins E87
Mouse Epithelium, Serum & Urine Proteins E88"
INHALE1,$595.00,Inhalant Panel 1 - Dust/Mites/Epidermals/Pollen (15),"Alternaria Alternata M6
Aspergillus Fumigatus M3
Bahia Grass G17
Bermuda Grass G2
Blomia Tropicalis D201
Cat Dander E1
Cockroach, German I6
Common Ragweed W1
Curvularia Lunata M16
D. Farinae D2
D. Pteronyssinus D1
Dog Dander E5
Dust - Greer H1
Johnson Grass G10
Timothy Grass G6"
INHALE2,$266.00,Inhalant Panel 2 - Molds & Yeasts (5),"Alternaria Alternata M6
Aspergillus Fumigatus M3
Candida Albicans M5
Cladosporium Herbarum M2
Penicillium Notatum M1"
NUTS,$430.00,Food 3 - Nuts (8),"Almond F20
Brazil Nut F18
Hazel Nut F17
Macadamia Nut F345
Peanut F13
Pine Nut F253
Pistachio F203
Walnut F256"
SEAFOOD1,$382.00,Food Panel (8),"Anchovies (Ikan Bilis) F313
Clam F207
Crab F23
Fish (Cod) F3
Salmon F41
Shrimp F24
Squid F258
Tuna F40"
SEAFOOD2,$397.00,Food Panel - Shellfish (8),"Blue Mussel F37
Clam F207
Crab F23
Lobster F80
Oyster F290
Scallop F338
Shrimp F24
Squid F258"
PAEDS,$606.00,Paediatric/Common Allergy Panel (15),"Anchovies (Ikan Bilis) F313
Chicken F83
Cocoa F93
Corn F8
Cow's Milk F2
Egg White F1
Fish (Cod) F3
Gluten F79
Peanut F13
Rice F9
Sesame Seed F10
Shrimp F24
Soya Bean F14
Wheat F4
Yeast F45"
ANT04,$42.00,ANTENATAL PROFILE 04,"Haemoglobin
MCV, MCHC, MCH
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)"
ANT05,$54.00,ANTENATAL PROFILE 05,"Haemoglobin
MCV, MCHC, MCH
ABO Blood Group
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)"
